region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
ON,female,Ontario,strongly agree,neutral,no,,important,that depends ,no,,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,no,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,34,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,4,4,4,3,1,4,5,5,3,4.25
MB,male,Manitoba,agree,probably yes,no,,unimportant,that depends ,not sure,,both,neither unimportant nor important,might or might not,probably yes,probably not,yes ,no particular variety,sometimes,no,,definitely yes,definitely yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,high school,i am not currently studying,0,yes ,15,30 minutes to 1 hour,3,3,3,3,3,3,3,3.66666666666667,3.66666666666667,3,3.33333333333333
ON,male,Ontario,agree,definitely not,no,,important,yes,yes,,zed,important,definitely yes,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,agree,disagree,agree,strongly disagree,definitely yes,34,canada,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes,5,5,4,4,4,5,5,5,5,4,4.75
ON,female,Ontario,strongly agree,probably yes,no,,important,yes,no,,zed,very important,probably yes,definitely yes,probably not,no,british english,,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,probably yes,24,canada,high school,third year,0,no,,46 hours,1,4,4,3,5,1,4,5,3.66666666666667,5,4.41666666666667
MB,other,Manitoba,strongly agree,probably not,no,,important,,no,,zed,important,definitely yes,probably yes,probably not,yes ,no particular variety,rarely,yes,yes,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,49,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,5,3,3,4,1,5,3.66666666666667,3.66666666666667,4,4.08333333333333
MB,male,Manitoba,strongly agree,neutral,no,,unimportant,yes,not sure,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably not,definitely not,no,british english,sometimes,yes,neither yes or no,definitely yes,definitely not,strongly agree,strongly disagree,agree,neither disagree nor agree,probably yes,44,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,3,4,2,3,3,3,4,2.33333333333333,3.66666666666667,3,3.25
MB,female,Manitoba,agree,neutral,no,,important,that depends ,not sure,,zed,important,probably yes,probably not,probably not,,british english,sometimes,yes,neither yes or no,probably not,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,39,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,3,4,2,3,4,3,4,2.33333333333333,3.66666666666667,4,3.5
MB,male,Manitoba,strongly agree,definitely not,no,,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,strongly agree,agree,strongly disagree,neither disagree nor agree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,3,3,3,5,5,3.66666666666667,3.66666666666667,3,3.83333333333333
NS,male,Ontario,somewhat agree,neutral,no,,unimportant,yes,no,,both,neither unimportant nor important,might or might not,probably not,definitely not,no,no particular variety,sometimes,no,no,definitely yes,definitely yes,neither disagree nor agree,strongly disagree,,strongly disagree,probably yes,24,canada,undergraduate degree,i am not currently studying,0,,,30 minutes to 1 hour,1,3,2,3,3,1,3,2.33333333333333,3.66666666666667,3,3
ON,female,Ontario,strongly agree,definitely yes,no,,,that depends ,no,,zee,neither unimportant nor important,might or might not,probably yes,probably yes,yes ,,sometimes,yes,no,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,34,canada,undergraduate degree,i am not currently studying,0,yes ,11,12 hours,1,3,3,3,3,1,3,3.66666666666667,3.66666666666667,3,3.33333333333333
QC,female,Quebec,strongly agree,probably yes,yes,extremely comfortable,important,yes,no,,both,neither unimportant nor important,might or might not,,probably not,,british english,sometimes,yes,no,definitely yes,probably yes,agree,agree,neither disagree nor agree,disagree,probably yes,34,canada,undergraduate degree,i am not currently studying,2,no,,24 hours,1,3,,3,3,1,3,,3.66666666666667,3,3.22222222222222
MB,male,Manitoba,strongly agree,probably not,no,,important,no,not sure,,both,important,probably yes,probably yes,definitely not,yes ,no particular variety,often,,,definitely yes,definitely yes,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,49,canada,high school,i am not currently studying,0,no,,12 hours,3,4,3,3,4,3,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,male,Ontario,strongly agree,probably yes,no,,important,that depends ,no,,zed,important,probably yes,definitely yes,definitely not,no,british english,rarely,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,definitely yes,49,canada,high school,i am not currently studying,0,no,,12 hours,1,4,4,4,4,1,4,5,5,4,4.5
MB,other,Manitoba,somewhat disagree,probably yes,yes,extremely comfortable,unimportant,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably not,definitely not,yes ,no particular variety,sometimes,no,neither yes or no,definitely yes,probably yes,neither disagree nor agree,disagree,neither disagree nor agree,disagree,probably yes,39,canada,undergraduate degree,i am not currently studying,0,yes ,12,less than 30 minutes,5,3,2,3,3,5,3,2.33333333333333,3.66666666666667,3,3
ON,female,Manitoba,strongly agree,probably yes,yes,moderately uncomfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,no,british english,often,yes,yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,49,canada,graduate degree,i am not currently studying,0,no,,12 hours,5,5,3,3,5,5,5,3.66666666666667,3.66666666666667,5,4.33333333333333
MB,other,Manitoba,strongly agree,definitely yes,no,,extremely important,that depends ,no,,zed,very important,definitely yes,definitely yes,probably not,yes ,no particular variety,often,,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,39,canada,high school,i am not currently studying,0,yes ,5,46 hours,1,5,4,4,5,1,5,5,5,5,5
AB,male,Alberta,strongly disagreee,,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,no,no particular variety,often,yes,,definitely yes,probably yes,agree,agree,agree,disagree,probably not,34,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,5,4,2,5,5,5,5,2.33333333333333,5,4.33333333333333
NS,male,Newfoundland and Labrador,agree,probably yes,yes,moderately uncomfortable,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,neither disagree nor agree,probably yes,29,canada,undergraduate degree,first year,0,no,,12 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
QC,male,Quebec,strongly agree,definitely yes,yes,extremely comfortable,,yes,not sure,,zed,very unimportant,definitely not,definitely not,,no,british english,never,no,definitely not,definitely not,definitely not,strongly disagree,strongly disagree,strongly disagree,strongly disagree,definitely not,39,canada,undergraduate degree,i am not currently studying,13,yes ,10,30 minutes to 1 hour,3,1,1,1,1,3,1,1,1,1,1
NL,female,Newfoundland and Labrador,strongly disagreee,definitely yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,undergraduate degree,fourth year+,3,no,,24 hours,5,2,3,3,3,5,2,3.66666666666667,3.66666666666667,3,3.08333333333333
MB,female,Manitoba,strongly agree,definitely yes,yes,moderately comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,no,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,definitely yes,59,canada,undergraduate degree,,0,no,,less than 30 minutes,5,5,4,4,5,5,5,5,5,5,5
AB,female,Alberta,strongly agree,definitely yes,no,,extremely important,yes,no,,zed,very important,definitely yes,,probably not,,british english,sometimes,,yes,definitely yes,probably yes,neither disagree nor agree,disagree,agree,agree,probably yes,49,canada,undergraduate degree,,0,no,,12 hours,1,5,,3,5,1,5,,3.66666666666667,5,4.55555555555556
ON,female,Ontario,strongly agree,definitely not,yes,neither comfortable nor uncomfortable,extremely important,yes,no,,zed,neither unimportant nor important,definitely yes,probably yes,,,british english,always,yes,,definitely yes,definitely yes,strongly agree,,agree,,definitely yes,54,canada,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes,1,5,3,4,3,1,5,3.66666666666667,5,3,4.16666666666667
NL,other,Newfoundland and Labrador,strongly agree,probably yes,yes,moderately uncomfortable,important,no,no,,zee,very unimportant,definitely not,probably yes,definitely not,no,no particular variety,often,yes,yes,definitely not,might or might not,disagree,disagree,strongly agree,disagree,definitely not,24,canada,high school,second year,5,no,,12 hours,1,1,3,1,1,1,1,3.66666666666667,1,1,1.66666666666667
NL,female,Newfoundland and Labrador,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably not,definitely yes,definitely not,no,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,agree,definitely yes,24,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,2,4,4,3,5,2,5,5,3,3.75
AB,female,Alberta,agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,,agree,definitely yes,39,canada,graduate degree,i am not currently studying,3,yes ,9,less than 30 minutes,5,4,3,4,4,5,4,3.66666666666667,5,4,4.16666666666667
MB,male,Manitoba,somewhat agree,probably yes,yes,moderately comfortable,unimportant,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,probably yes,strongly agree,agree,neither disagree nor agree,neither disagree nor agree,definitely yes,34,canada,postgraduate degree,i am not currently studying,0,no,,24 hours,5,3,3,4,3,5,3,3.66666666666667,5,3,3.66666666666667
AB,male,Alberta,strongly agree,probably yes,no,,important,no,no,,zed,neither unimportant nor important,might or might not,probably not,probably not,no,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,agree,agree,strongly disagree,neither disagree nor agree,probably yes,34,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,1,3,2,3,3,1,3,2.33333333333333,3.66666666666667,3,3
ON,male,Ontario,strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably not,strongly agree,strongly agree,strongly agree,disagree,probably yes,29,canada,graduate degree,i am not currently studying,0,yes ,6,24 hours,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
QC,male,Quebec,agree,definitely not,yes,extremely comfortable,extremely important,no,no,,zed,unimportant,probably not,definitely not,probably not,no,no particular variety,never,yes,yes,might or might not,definitely not,strongly disagree,strongly agree,strongly agree,strongly disagree,probably yes,24,canada,undergraduate degree,i am not currently studying,11,yes ,9,24 hours,1,2,1,3,2,1,2,1,3.66666666666667,2,2.16666666666667
ON,female,Ontario,strongly agree,definitely yes,yes,moderately comfortable,important,no,yes,yes i do know it is ,zee,important,probably yes,,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,29,canada,graduate degree,i am not currently studying,2,yes ,7,24 hours,5,4,,3,4,5,4,,3.66666666666667,4,3.88888888888889
BC,female,British Columbia,strongly agree,probably not,no,,important,yes,no,,both,neither unimportant nor important,probably yes,definitely yes,probably not,,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,strongly disagree,strongly agree,neither disagree nor agree,,54,canada,high school,i am not currently studying,0,no,,12 hours,1,4,4,,3,1,4,5,,3,4
AB,male,Alberta,strongly agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,both,very important,probably not,probably not,probably not,,british english,rarely,yes,definitely yes,probably yes,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,high school,i am not currently studying,0,no,,30 minutes to 1 hour,5,2,2,3,5,5,2,2.33333333333333,3.66666666666667,5,3.25
ON,male,Ontario,strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,both,important,,definitely yes,definitely not,yes ,irish english,sometimes,yes,definitely yes,probably yes,definitely yes,agree,agree,strongly agree,agree,probably not,39,canada,undergraduate degree,i am not currently studying,1,yes ,4,12 hours,5,,4,2,4,5,,5,2.33333333333333,4,3.77777777777778
NS,male,Alberta,somewhat agree,neutral,no,,important,yes,yes,yes i do know it is ,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,54,canada,postgraduate degree,i am not currently studying,0,no,,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
MB,male,Manitoba,strongly agree,probably yes,no,,,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,probably yes,yes ,british english,often,yes,no,definitely yes,definitely yes,agree,agree,agree,strongly disagree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
MB,male,Alberta,strongly agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably not,probably yes,probably not,no,british english,never,yes,no,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,59,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,2,3,3,4,5,2,3.66666666666667,3.66666666666667,4,3.33333333333333
ON,male,Ontario,somewhat agree,definitely not,yes,moderately comfortable,unimportant,no,not sure,,zee,unimportant,probably not,definitely not,probably not,,no particular variety,sometimes,no,no,definitely yes,probably yes,strongly agree,strongly disagree,disagree,strongly disagree,,44,canada,graduate degree,i am not currently studying,0,no,,i dont use social media,3,2,1,,2,3,2,1,,2,1.66666666666667
ON,other,Ontario,somewhat agree,probably yes,yes,,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,rarely,yes,yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,definitely yes,24,canada,high school,third year,4,no,,12 hours,5,4,4,4,4,5,4,5,5,4,4.5
QC,male,Quebec,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,probably not,probably not,no,no particular variety,rarely,yes,yes,probably yes,might or might not,agree,agree,agree,disagree,probably yes,29,canada,undergraduate degree,i am in a graduate program,12,no,,24 hours,5,4,2,3,3,5,4,2.33333333333333,3.66666666666667,3,3.25
QC,female,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,,that depends ,yes,,both,neither unimportant nor important,definitely not,definitely yes,definitely not,,british english,rarely,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,neither disagree nor agree,strongly agree,definitely yes,34,canada,graduate degree,i am not currently studying,2,yes ,6,46 hours,5,1,4,4,3,5,1,5,5,3,3.5
ON,male,Ontario,somewhat agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,,,canadian english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,,disagree,probably yes,19,canada,high school,first year,0,no,,30 minutes to 1 hour,5,5,3,3,5,5,5,3.66666666666667,3.66666666666667,5,4.33333333333333
AB,female,Saskatchewan,strongly agree,definitely yes,no,,important,no,not sure,yes i do know it is ,zee,very important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,agree,agree,strongly agree,strongly agree,probably yes,34,canada,graduate degree,i am not currently studying,0,no,,12 hours,3,4,3,3,5,3,4,3.66666666666667,3.66666666666667,5,4.08333333333333
ON,female,Ontario,strongly agree,neutral,no,,extremely important,no,not sure,,zed,important,probably yes,definitely yes,definitely not,no,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,69,canada,high school,i am not currently studying,0,no,,30 minutes to 1 hour,3,4,4,3,4,3,4,5,3.66666666666667,4,4.16666666666667
ON,female,Newfoundland and Labrador,strongly agree,probably yes,yes,moderately uncomfortable,important,that depends ,yes,yes but i cant describe it well,both,important,probably yes,probably yes,definitely not,no,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,,agree,probably not,24,canada,undergraduate degree,i am in a graduate program,3,no,,24 hours,5,4,3,2,4,5,4,3.66666666666667,2.33333333333333,4,3.5
ON,male,Ontario,strongly agree,probably yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably not,yes ,canadian english,often,yes,definitely yes,might or might not,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,probably yes,44,canada,undergraduate degree,i am not currently studying,0,yes ,3,12 hours,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
NL,female,Newfoundland and Labrador,strongly agree,definitely yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably not,definitely not,no,no particular variety,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,strongly agree,agree,probably not,24,canada,undergraduate degree,fourth year+,0,yes ,7,12 hours,5,2,2,2,3,5,2,2.33333333333333,2.33333333333333,3,2.41666666666667
MB,male,Manitoba,somewhat agree,probably not,no,,important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,probably yes,definitely not,no,canadian english,sometimes,yes,definitely yes,definitely yes,might or might not,disagree,disagree,agree,agree,probably yes,59,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
MB,male,Manitoba,strongly agree,definitely yes,no,,,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,male,Quebec,somewhat agree,neutral,yes,moderately uncomfortable,unimportant,that depends ,not sure,,zed,neither unimportant nor important,might or might not,probably yes,probably not,no,british english,always,yes,definitely not,definitely yes,probably yes,disagree,disagree,disagree,strongly disagree,definitely yes,39,canada,graduate degree,i am not currently studying,4,no,,12 hours,3,3,3,4,3,3,3,3.66666666666667,5,3,3.66666666666667
ON,female,Ontario,somewhat agree,definitely yes,no,,important,yes,no,,zed,important,might or might not,,definitely not,,british english,rarely,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,disagree,probably not,44,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,1,3,,2,4,1,3,,2.33333333333333,4,3.11111111111111
ON,male,Ontario,strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,no,,zed,very important,definitely yes,probably yes,probably not,no,british english,rarely,yes,definitely yes,definitely yes,probably yes,strongly disagree,strongly disagree,agree,agree,probably yes,29,canada,graduate degree,i am not currently studying,6,yes ,3,less than 30 minutes,1,5,3,3,5,1,5,3.66666666666667,3.66666666666667,5,4.33333333333333
ON,male,Ontario,agree,probably not,yes,extremely comfortable,unimportant,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,definitely not,no,british english,always,yes,yes,probably not,probably yes,strongly disagree,strongly disagree,neither disagree nor agree,strongly disagree,probably not,39,canada,graduate degree,i am not currently studying,0,no,,12 hours,1,4,3,2,3,1,4,3.66666666666667,2.33333333333333,3,3.25
MB,male,Manitoba,somewhat agree,probably not,no,,unimportant,,no,,zee,unimportant,definitely not,,definitely yes,yes ,british english,sometimes,,yes,might or might not,probably yes,strongly agree,disagree,agree,strongly disagree,probably yes,29,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,1,,3,2,1,1,,3.66666666666667,2,2.22222222222222
MB,female,Manitoba,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,unimportant,might or might not,probably not,probably yes,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,49,canada,high school,i am not currently studying,0,yes ,9,12 hours,5,3,2,4,2,5,3,2.33333333333333,5,2,3.08333333333333
AB,male,Ontario,strongly agree,neutral,yes,extremely comfortable,important,yes,no,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably not,probably not,no,british english,rarely,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,probably yes,24,canada,postgraduate degree,i am in a graduate program,3,yes ,9,12 hours,1,3,2,3,3,1,3,2.33333333333333,3.66666666666667,3,3
BC,male,British Columbia,strongly agree,definitely not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,definitely not,yes ,british english,rarely,,no,might or might not,probably yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably not,34,canada,graduate degree,i am not currently studying,0,yes ,0,30 minutes to 1 hour,5,2,3,2,3,5,2,3.66666666666667,2.33333333333333,3,2.75
ON,male,Quebec,agree,neutral,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably yes,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,definitely yes,29,canada,postgraduate degree,,0,no,,less than 30 minutes,5,5,3,4,5,5,5,3.66666666666667,5,5,4.66666666666667
MB,male,Manitoba,strongly agree,neutral,no,,important,that depends ,no,,zed,neither unimportant nor important,probably not,definitely not,definitely not,no,british english,sometimes,no,no,definitely yes,probably yes,agree,neither disagree nor agree,agree,agree,probably not,29,canada,high school,i am not currently studying,0,no,,24 hours,1,2,1,2,3,1,2,1,2.33333333333333,3,2.08333333333333
AB,male,Alberta,strongly agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,zed,unimportant,might or might not,probably not,definitely not,yes ,irish english,often,yes,neither yes or no,definitely yes,probably yes,disagree,neither disagree nor agree,strongly agree,strongly agree,probably yes,29,canada,undergraduate degree,i am in a graduate program,0,yes ,2,12 hours,5,3,2,3,2,5,3,2.33333333333333,3.66666666666667,2,2.75
MB,male,Manitoba,strongly agree,probably not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably yes,yes ,british english,often,,no,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely yes,34,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,5,3,4,5,5,5,3.66666666666667,5,5,4.66666666666667
AB,female,Alberta,agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,strongly disagree,strongly disagree,probably yes,44,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,,3,5,5,5,,3.66666666666667,5,4.55555555555556
ON,female,United States,strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,definitely not,yes ,british english,always,yes,yes,definitely yes,probably yes,agree,agree,,neither disagree nor agree,probably yes,24,united states,undergraduate degree,i am in a graduate program,0,yes ,5,24 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
SK,female,Alberta,agree,probably not,no,,important,yes,yes,yes i do know it is ,both,important,definitely yes,definitely yes,probably yes,yes ,british english,often,yes,yes,definitely yes,probably yes,agree,disagree,strongly agree,neither disagree nor agree,probably yes,29,canada,undergraduate degree,i am in a graduate program,0,yes ,6,68 hours,5,5,4,3,4,5,5,5,3.66666666666667,4,4.41666666666667
QC,female,Quebec,strongly agree,probably yes,yes,extremely comfortable,important,no,not sure,,zed,important,definitely yes,definitely not,probably not,no,no particular variety,rarely,yes,definitely yes,definitely yes,might or might not,agree,strongly agree,strongly agree,disagree,probably yes,64,canada,undergraduate degree,i am not currently studying,9,no,,more than 8 hours,3,5,1,3,4,3,5,1,3.66666666666667,4,3.41666666666667
ON,female,Ontario,strongly agree,definitely yes,yes,moderately comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,no,no particular variety,sometimes,yes,definitely yes,definitely yes,probably not,agree,agree,strongly agree,agree,definitely yes,24,canada,high school,third year,2,no,,24 hours,5,5,3,4,4,5,5,3.66666666666667,5,4,4.41666666666667
ON,male,Ontario,strongly agree,probably yes,yes,extremely comfortable,important,that depends ,not sure,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably yes,definitely not,,british english,sometimes,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,graduate degree,i am not currently studying,5,yes ,9,12 hours,3,3,3,3,3,3,3,3.66666666666667,3.66666666666667,3,3.33333333333333
ON,male,Ontario,strongly agree,probably not,no,,unimportant,that depends ,no,,zed,unimportant,,probably not,probably not,yes ,british english,rarely,yes,no,probably yes,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,disagree,probably not,34,canada,high school,i am not currently studying,0,no,,46 hours,1,,2,2,2,1,,2.33333333333333,2.33333333333333,2,2.22222222222222
ON,female,Ontario,strongly agree,probably yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,other ,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,39,canada,graduate degree,i am not currently studying,3,yes ,3,12 hours,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
AB,female,Ontario,strongly agree,probably yes,no,,important,yes,yes,,zed,neither unimportant nor important,probably not,definitely yes,definitely not,no,no particular variety,sometimes,no,yes,definitely yes,probably yes,disagree,disagree,agree,agree,probably yes,79,canada,undergraduate degree,i am not currently studying,0,yes ,0,46 hours,5,2,4,3,3,5,2,5,3.66666666666667,3,3.41666666666667
NS,male,Nova Scotia,strongly agree,probably yes,no,,important,no,not sure,,zed,neither unimportant nor important,probably not,definitely not,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,34,canada,high school,i am not currently studying,0,no,,i dont use social media,3,2,1,3,3,3,2,1,3.66666666666667,3,2.41666666666667
BC,female,British Columbia,strongly agree,definitely yes,no,,important,yes,not sure,,zed,important,probably yes,probably not,probably not,no,no particular variety,often,yes,yes,probably yes,definitely yes,disagree,disagree,,disagree,probably yes,69,canada,high school,i am not currently studying,0,yes ,5,less than 30 minutes,3,4,2,3,4,3,4,2.33333333333333,3.66666666666667,4,3.5
ON,male,Ontario,strongly agree,probably yes,no,,,that depends ,yes,yes but i cant describe it well,both,unimportant,probably not,probably not,definitely not,yes ,no particular variety,often,yes,,definitely yes,probably not,strongly agree,agree,agree,neither disagree nor agree,probably yes,39,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,2,2,3,2,5,2,2.33333333333333,3.66666666666667,2,2.5
